day,meal_type,name,serving_size,calories,total_fat
Monday,Lunch,Salt Hickory Smk RLS,Teaspoon,null,null
Monday,Lunch,Seasoning All Purpose BBQ,Ounce,0, 0
Monday,Lunch,Shredded Mild Cheddar Cheese,Ounce,110, 9
Monday,Lunch,Tomato Cherry Red Halves,2 Halves,0, 0
Monday,Lunch,Creamy Tomato Soup,6 Flz,90, 1.5
Monday,Lunch,"100% Whole Wheat Bread 1/2"" Slice",Slice,70, 0.5
Monday,Lunch,Avocado Pulp Fresh,Ounce,70, 6
Monday,Lunch,Cream Cheese,Ounce,90, 9
Monday,Lunch,Everything Bagel,"Bagel
Bagel",340, 4.5
Monday,Lunch,Jif Peanut Butter PC,0.75z,120, 10
Monday,Lunch,Nutella Chocolate Hazelnut Spread,Ounce,150, 9
Monday,Lunch,Plain Bagel,Bagel,320, 1
Monday,Lunch,Sliced Tomatoes,Ounce,0, 0
Monday,Lunch,Unsalted European-Style Butter Prints,Ounce,220, 24
Monday,Lunch,"White Pullman Bread 0.5"" Slice",Slices,60, 0.5
Monday,Lunch,Whole Wheat Bagel,Bagel,320, 1.5
Monday,Lunch,Baby Carrots,3 Carrots,10, 0
Monday,Lunch,Celery Sticks,Ounce,0, 0
Monday,Lunch,Classic Quinoa & Lentil Salad,3z Portion,200, 9
Monday,Lunch,Daiya Vegan Shredded Mozzarella Cheese,Ounce,80, 5
Monday,Lunch,Fresh Avocado,Ounce,45, 4.5
Monday,Lunch,Hummus with Tahini,1z Portion,70, 5
Monday,Lunch,Kalamata Olive Hummus,1z Portion,70, 6
Monday,Lunch,Raw Mediterranean Pita Chips,1 oz portion,70, 0.5
Monday,Lunch,Roasted Garlic Hummus,1z Portion,70, 5
Monday,Lunch,Roasted Red Pepper Hummus,1z Portion,60, 4
Monday,Lunch,Blueberry Yogurt,Ounce,20, 0
Monday,Lunch,Nature Valley Toasted Granola Oat,Ounce,130, 4.5
Monday,Lunch,Plain Greek Yogurt,Ounce,15, 0
Monday,Lunch,Small Curd Cottage Cheese,1/2 Cup,100, 5
Monday,Lunch,Strawberry Yogurt,Ounce,20, 0
Monday,Lunch,Vanilla Yogurt,Ounce,20, 0
Tuesday,Breakfast,2% Chocolate Milk BIB,1 Cup,170, 5
Tuesday,Breakfast,2% Milk BIB,8 flz,120, 5
Tuesday,Breakfast,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0
Tuesday,Breakfast,Cherry Coke,1 dining hall glass,null,null
Tuesday,Breakfast,Coke Classic,1 dining hall glass,null,null
Tuesday,Breakfast,Coke Zero,8flz,null,null
Tuesday,Breakfast,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0
Tuesday,Breakfast,Diet Coke,1 dining hall glass,null,null
Tuesday,Breakfast,Diet Sprite,Fluid Oz,0, 0
Tuesday,Breakfast,Milk Soy Vanilla Aseptic Silk,8z,null,null
Tuesday,Breakfast,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0
Tuesday,Breakfast,Original Style Lemonade,1 dining hall glass,null,null
Tuesday,Breakfast,Original Unsweetened Almond Milk,6z Portion,60, 2
Tuesday,Breakfast,Pibb Xtra,1 dining hall glass,null,null
Tuesday,Breakfast,Powerade Mountain Blast,1 dining hall glass,null,null
Tuesday,Breakfast,Root Beer,1 dining hall glass,null,null
Tuesday,Breakfast,Skim Milk BIB,8 flz,80, 0
Tuesday,Breakfast,Sprite,1 dining hall glass,null,null
Tuesday,Breakfast,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5
Tuesday,Breakfast,Brewed coffee,6z Portion,0,null
Tuesday,Breakfast,Coffeemate Original,Fluid Oz,30, 3
Tuesday,Breakfast,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5
Tuesday,Breakfast,ecoStick Organic White Sugar Stick,"Stick
Stick",10, 0
Tuesday,Breakfast,ecoStick Sugar Substitute Blue Pc,Stick,0, 0
Tuesday,Breakfast,ecoStick Sugar Substitute Pink Pc,Stick,0, 0
Tuesday,Breakfast,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0
Tuesday,Breakfast,Extra Lite Amber Honey,Ounce,80, 0
Tuesday,Breakfast,Green Tea Bag,Tea Bag,0, 0
Tuesday,Breakfast,Hazelnut Coffee Creamer,Fluid Oz,10, 0
Tuesday,Breakfast,Lipton Black Tea Bag,Tea Bag,0, 0
Tuesday,Breakfast,Lipton Tea Decaf,Tea Bag,null,null
Tuesday,Breakfast,Vegetable Egg Rolls,2 Egg Rolls,230, 0
Tuesday,Breakfast,Chicken for Stirfry,1z Portion,50, 3.5
Tuesday,Breakfast,Firm Tofu,1/4 cup,60, 3
Tuesday,Breakfast,Homestyle Breaded Chicken Breast Chunk,4 pcs,260, 15
Tuesday,Breakfast,Plant Based Chick'n Poppers,1ct,null,null
Tuesday,Breakfast,Shrimp,1 Shrimp,5, 0
Tuesday,Breakfast,Steamed Brown Rice,4z Portion,140, 1
Tuesday,Breakfast,Steamed Long Grain Rice,4z Portion,530, 0
Tuesday,Breakfast,Szechuan Sauce,Ounce,120, 12
Tuesday,Breakfast,Thai Rice Noodle,Ounce,100, 0
Tuesday,Breakfast,Velveted Beef,1z Portion,40, 1.5
Tuesday,Breakfast,Yaki Soba Noodles,3z Portion,230, 2.5
Tuesday,Breakfast,Orange Ginger Sauce,2 tbs,60, 0
Tuesday,Breakfast,Sauce General Tso Premium,1Tbsp,30, 0
Tuesday,Breakfast,Soy Sauce,Ounce,20, 0
Tuesday,Breakfast,Sriracha Sauce,Teaspoon,0, 0
Tuesday,Breakfast,Sweet & Sour Sauce,Fluid Oz,30, 0
Tuesday,Breakfast,Teriyaki Glaze,2 tbs,50, 0
Tuesday,Breakfast,Bamboo Shoots,Ounce,0, 0
Tuesday,Breakfast,Bean Sprouts,Ounce,10, 0
Tuesday,Breakfast,Broccoli Florets,Ounce,10, 0
Tuesday,Breakfast,Cabbage Napa Shredded Thin,Ounce,0, 0
Tuesday,Breakfast,Carrots,Tablespoon,0, 0
Tuesday,Breakfast,Celery,Tablespoon,0, 0
Tuesday,Breakfast,Ginger Garlic,1z Portion,30, 0
Tuesday,Breakfast,Onion Sliced,Ounce,15, 0.5
Tuesday,Breakfast,Sliced Mushrooms,Tablespoon,0, 0
Tuesday,Breakfast,Snow Pea Pods,Ounce,10, 0
Tuesday,Breakfast,Tri Color Peppers,Portion,25, 1.5
Tuesday,Breakfast,Water Chestnut Sliced,Ounce,15, 0
Tuesday,Breakfast,Captain Crunch Wildberries,Cup,180, 2.5
Tuesday,Breakfast,Cheerios,Cup,110, 2
Tuesday,Breakfast,Cinnamon Toast Crunch,Cup,210, 5
Tuesday,Breakfast,Frosted Flakes,Cup,320, 0
Tuesday,Breakfast,Rice Chex Cereal,Cup,180, 1
Tuesday,Breakfast,Special K with Red Berries,Cup,360, 1
Tuesday,Breakfast,French Rolls,"6"" Portion",null,null
Tuesday,Breakfast,"Honey Wheat Tortilla 12""",Tortilla,300, 8
Tuesday,Breakfast,Kettle Chips,Ounce,160, 9
Tuesday,Breakfast,"Multigrain Bread 5/8"" Slice",Slice,null,null
Tuesday,Breakfast,Sourdough Bread Slice,Slices,100, 1
Tuesday,Breakfast,"Spinach Tortilla 12""",Tortilla,300, 8
Tuesday,Breakfast,"Sundried Tomato Basil Tortilla 12""",Tortillas,310, 8
Tuesday,Breakfast,Telera Roll,3.5z,300, 4
Tuesday,Breakfast,Caramel Topping,Ounce,80, 0
Tuesday,Breakfast,Chocolate Soft Serve Ice Cream Mix,Cup,340, 12
Tuesday,Breakfast,Cone Cake Jacketed,Cone,null,null
Tuesday,Breakfast,Dole Whip Pineapple,1 Serving,110, 0.5
Tuesday,Breakfast,Dole Whip Strawberry,1 Serving,110, 0
Tuesday,Breakfast,Dutch Chocolate Syrup,Ounce,70, 0
Tuesday,Breakfast,Mini Semi-Sweet Choc Chips,Ounce,130, 8
Tuesday,Breakfast,Oreo Cookie Topping,Ounce,140, 5
Tuesday,Breakfast,Rainbow Sprinkles,Ounce,140, 7
Tuesday,Breakfast,Vanilla Soft Serve Ice Cream Mix,Cup,360, 13
Tuesday,Breakfast,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5
Tuesday,Breakfast,Provolone Cheese Slice,Slice,70, 6
Tuesday,Breakfast,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7
Tuesday,Breakfast,Cooked & Crumbled Bacon,Ounce,160, 13
Tuesday,Breakfast,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5
Tuesday,Breakfast,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Tuesday,Breakfast,Low Sodium Smoked Ham Slices,Ounce,30, 1
Tuesday,Breakfast,Oven Roasted Sliced Chicken,Ounce,null,null
Tuesday,Breakfast,Smoked Sliced Genoa Salami,Ounce,110, 9
Tuesday,Breakfast,Smoked Tempeh,Ounce,null,null
Tuesday,Breakfast,Tuna Salad,1z Portion,80, 7
Tuesday,Breakfast,Chicago-Style Hot Giardiniera,Fluid Oz,120, 12
Tuesday,Breakfast,Cucumber Slices,.25 cup,0, 0
Tuesday,Breakfast,Flat Leaf Spinach,Ounce,5, 0
Tuesday,Breakfast,Hamburger Sliced Dill Pickle Chip,Slice,0, 0
Tuesday,Breakfast,Mild Banana Pepper Ring,Ounce,5, 0
Tuesday,Breakfast,Shredded Iceberg Lettuce,Ounce,0, 0
Tuesday,Breakfast,Sliced Jalapeno Peppers,Tablespoon,0, 0
Tuesday,Breakfast,Sliced Red Onion,Ounce,10, 0
Tuesday,Breakfast,Tomatoes Sliced 1/4-inch,Pound,80, 1
Tuesday,Breakfast,Aged Balsamic Vinegar,Fluid Oz,40, 0
Tuesday,Breakfast,Black Pepper Grinder,Teaspoon,5, 0
Tuesday,Breakfast,Buttermilk Ranch Dressing,Ounce,130, 14
Tuesday,Breakfast,Chipotle Ranch Dressing,Fluid Oz,150, 16
Tuesday,Breakfast,Garlic Mayonnaise,1/2 oz,100, 10
Tuesday,Breakfast,Grinder Sea Salt,Gram,0, 0
Tuesday,Breakfast,Heavy Duty Mayonnaise,Tablespoon,100, 11
Tuesday,Breakfast,Mediterranean Extra Virgin Olive Oil,1 tbsp,120, 14
Tuesday,Breakfast,Plant Based Chipotle Ranch Dressing,2z Portion,180, 20
Tuesday,Breakfast,RedHot Buffalo Wing Sauce,Fluid Oz,0, 0
Tuesday,Breakfast,Vegan Mayonnaise,1 tbs,60, 7
Tuesday,Breakfast,Vinegar Red Wine,Fluid Oz,0, 0
Tuesday,Breakfast,Yellow Mustard,1 tsp,0, 0
Tuesday,Breakfast,Apple Gala,Apples,90, 0
Tuesday,Breakfast,Bananas,Banana,190, 0
Tuesday,Breakfast,Fresh Kiwi,Kiwi,60, 0
Tuesday,Breakfast,Oranges,Orange,100, 0
Tuesday,Breakfast,Pears,Each,null,null
Tuesday,Breakfast,American,Slice,70, 6
Tuesday,Breakfast,Angus Beef Frank,Frank,170, 16
Tuesday,Breakfast,Black Bean Burger,Patty,170, 5
Tuesday,Breakfast,Breaded Onion Tangler,3z portion,270, 17
Tuesday,Breakfast,Buns Hot Dog Bulk,Each,120, 1.5
Tuesday,Breakfast,Fried Eggs,Eggs,90, 7
Tuesday,Breakfast,Hamburger Bun,Buns,null,null
Tuesday,Breakfast,Hamburger Sliced Dill Pickle Chip,Slice,0, 0
Tuesday,Breakfast,Heavy Duty Mayonnaise,Tablespoon,100, 11
Tuesday,Breakfast,Homestyle Breaded Chicken Breast Fritter,Patty,230, 14
Tuesday,Breakfast,Natural Low Sodium Ketchup,Ounce,5, 0
Tuesday,Breakfast,Regular Cut Potato Fries,3z,110, 3.5
Tuesday,Breakfast,Sliced Red Onion,Ounce,10, 0
Tuesday,Breakfast,Smash Burger,Burgers,290, 23
Tuesday,Breakfast,Spicy Brown Mustard,Ounce,30, 0
Tuesday,Breakfast,Tomatoes,Ounce,5, 0
Tuesday,Breakfast,Yellow Mustard,1 tsp,0, 0
Tuesday,Breakfast,American Cheese Slice,Slice,50, 4.5
Tuesday,Breakfast,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5
Tuesday,Breakfast,"Multigrain Bread 5/8"" Slice",Slice,null,null
Tuesday,Breakfast,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7
Tuesday,Breakfast,Sourdough Bread Slice,Slices,100, 1
Tuesday,Breakfast,"White Pullman Bread 0.5"" Slice",Slices,60, 0.5
Tuesday,Breakfast,Baked Sweet Potato,Potatoes,120, 1.5
Tuesday,Breakfast,Carrots Honey Dill Glazed DH,2z Portion,110,null
Tuesday,Breakfast,Garden Herb Chicken Breast,3.25z Tender,80, 0
Tuesday,Breakfast,Grilled Lemon Asparagus,3z Portion,90, 7
Tuesday,Breakfast,High Protein Grain BleND,3z portion,190,null
Tuesday,Breakfast,Lemon Pepper Turkey,6z Portion,190, 4
Tuesday,Breakfast,Long Grain & Wild Rice Pilaf,3z Portion,70,null
Tuesday,Breakfast,Polenta with Root Vegetables,3z Portion,100, 5
Tuesday,Breakfast,Sweet Orange Salmon Fillet,Filet,320, 18
Tuesday,Breakfast,8z Pizza Dough,8z,480, 4
Tuesday,Breakfast,Alfredo Sauce,Ounce,70, 6
Tuesday,Breakfast,Basil Pesto without Nuts,1 Flz Portion,140, 15
Tuesday,Breakfast,Grated Parmesan Cheese,Tablespoon,30, 2.5
Tuesday,Breakfast,Pepper Red Crushed,Teaspoon,0, 0
Tuesday,Breakfast,Seasoned Pizza Sauce with Oil,Ounce,15, 0
Tuesday,Breakfast,Shredded Mild Cheddar Cheese,Ounce,110, 9
Tuesday,Breakfast,Shredded Part-Skim Mozzarella Cheese,1z Portion,80, 6
Tuesday,Breakfast,Beef Meatball 0.5z,.5z meatball,45, 3.5
Tuesday,Breakfast,Chunk Italian Sausage,Ounce,90, 8
Tuesday,Breakfast,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Tuesday,Breakfast,Onion Sliced,Ounce,15, 0.5
Tuesday,Breakfast,Pepperoni Sliced,Slices,10, 1
Tuesday,Breakfast,Pineapple Tidbit in Unsweetened Juice,2 Ounce,30, 0
Tuesday,Breakfast,Plant based Sliced Italian Sausage,3 oz portion,170, 9
Tuesday,Breakfast,Sliced Jalapeno Peppers,Tablespoon,0, 0
Tuesday,Breakfast,Sliced Mushrooms,Tablespoon,0, 0
Tuesday,Breakfast,Sliced Spanish Black Ripe Olive,Tablespoon,25, 2
Tuesday,Breakfast,Tri Color Peppers,Portion,25, 1.5
Tuesday,Breakfast,"Water-Added Ham Diced 1/4""",Ounce,35, 1.5
Tuesday,Breakfast,Beef Taco Meat,2z Portion,130, 11
Tuesday,Breakfast,Black Olive Slices,1z Portion,50, 3.5
Tuesday,Breakfast,Chicken Tinga,3.25z Portion,80, 1.5
Tuesday,Breakfast,Diced Onions,Ounce,10, 0
Tuesday,Breakfast,"Flour Tortilla 6""",6in tortilla,100, 3
Tuesday,Breakfast,House-made Guacamole,3z Portion,100, 9
Tuesday,Breakfast,Pico de Gallo,2z Portion,10, 0
Tuesday,Breakfast,Shredded Iceberg Lettuce,Ounce,0, 0
Tuesday,Breakfast,Sliced Jalapeno Peppers,Tablespoon,0, 0
Tuesday,Breakfast,Sour Cream 5lb,Tablespoon,30, 2.5
Tuesday,Breakfast,Spanish Rice,4z Portion,230, 1
Tuesday,Breakfast,Thick & Chuncky Mild Salsa,Ounce,10, 0
Tuesday,Breakfast,Vegetarian Black Beans,2z Portion,70, 1.5
Tuesday,Breakfast,"White Corn Tortilla 6""",6in Tortilla,60, 0.5
Tuesday,Breakfast,Broccoli Florets,Ounce,10, 0
Tuesday,Breakfast,Sauteed Sliced Mushrooms,1z Portion,15, 1
Tuesday,Breakfast,Tomato Cherry Red Halves,2 Halves,0, 0
Tuesday,Breakfast,Chunk Italian Sausage,Ounce,90, 8
Tuesday,Breakfast,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Tuesday,Breakfast,Shrimp,1 Shrimp,5, 0
Tuesday,Breakfast,Elbow Macaroni Pasta,4z Portion,220, 5
Tuesday,Breakfast,Penne Pasta,3z Portion,170, 4.5
Tuesday,Breakfast,Tri-Color Tortellini,4z Portion,280, 8
Tuesday,Breakfast,Alfredo Sauce,Ounce,70, 6
Tuesday,Breakfast,Basil Pesto Sauce,1/4 Cup,320, 34
Tuesday,Breakfast,Diavolo Sauce,2 Flz Portion,90, 8
Tuesday,Breakfast,Marinara Sauce,Ounce,15, 0.5
Tuesday,Breakfast,Balsamic Vinegar,Teaspoon,0, 0
Tuesday,Breakfast,Basil,Ounce,0, 0
Tuesday,Breakfast,Garlic Minced Prep,Ounce,35, 0
Tuesday,Breakfast,Grated Parmesan Cheese,Tablespoon,30, 2.5
Tuesday,Breakfast,Mediterranean Extra Virgin Olive Oil,1 tbsp,120, 14
Tuesday,Breakfast,Parsley Ital Fresh Clnd,Tablespoon,0, 0
Tuesday,Breakfast,Pepper Red Crushed,Teaspoon,0, 0
Tuesday,Breakfast,Shallots Minced Prep,Ounce,15, 0
Tuesday,Breakfast,Alfredo Sauce,Ounce,70, 6
Tuesday,Breakfast,Basil Pesto without Nuts,1 Flz Portion,140, 15
Tuesday,Breakfast,Cavatappi Pasta,1/2 Cup,220, 5
Tuesday,Breakfast,Garlic Bread Stick,Breadstick,150, 6
Tuesday,Breakfast,Italian Beef & Pork Cheese Meatball,Meatball,40, 3
Tuesday,Breakfast,Marinara Sauce,Ounce,15, 0.5
Tuesday,Breakfast,Plant based Sliced Italian Sausage,3 oz portion,170, 9
Tuesday,Breakfast,Rigate Penne Pasta,4z Portion,170, 1.5
Tuesday,Breakfast,Baked Sweet Potato,Potatoes,120, 1.5
Tuesday,Breakfast,Classic Vegan Kimchi,Ounce,10, 0
Tuesday,Breakfast,Firm Tofu,1/4 cup,60, 3
Tuesday,Breakfast,Flax Seed,Ounce,150, 12
Tuesday,Breakfast,High Protein Grain BleND,3z portion,190,null
Tuesday,Breakfast,Marinated Quarter Artichoke Heart,Ounce,15, 1
Tuesday,Breakfast,Marinated Tofu,4z Portion,110, 5
Tuesday,Breakfast,Nutritional Yeast,Gram,null,null
Tuesday,Breakfast,Organic Black Chia Seed,Ounce,140, 9
Tuesday,Breakfast,Roasted & Salted Sunflower Seeds,1 Tablespoon,90, 7
Tuesday,Breakfast,Salt & Peppercorn Roasted Cauliflower,Ounce,0, 0
Tuesday,Breakfast,Shredded Kale,Ounce,15, 0
Tuesday,Breakfast,Sliced Almonds,Tablespoon,90, 8
Tuesday,Breakfast,Walnuts Halves & Pieces,Tablespoon,50, 5
Tuesday,Breakfast,Black Beans,Ounce,25, 0
Tuesday,Breakfast,Carrots,Tablespoon,0, 0
Tuesday,Breakfast,Chopped Eggs,.5z Portion,25, 1.5
Tuesday,Breakfast,Classic Edamame,Tablespoon,15, 0.5
Tuesday,Breakfast,Crispy Fried French Onion,Ounce,160, 12
Tuesday,Breakfast,Cucumber Slices,Slices,0, 0
Tuesday,Breakfast,Diced Tomatoes,Ounce,0, 0
Tuesday,Breakfast,Feta Cheese Crumbles,Ounce,5, 0.5
Tuesday,Breakfast,Iceberg Salad Mix,1 cup portion,5, 0
Tuesday,Breakfast,Large Seasoned Crouton,Ounce,120, 4
Tuesday,Breakfast,Locally Grown Salad Greens,Ounce,0, 0
Tuesday,Breakfast,Low Sodium Garbanzo Beans,Ounce,30, 0
Tuesday,Breakfast,Mini Marshmallows,Ounce,90, 0
Tuesday,Breakfast,Shredded Mild Cheddar Cheese,Ounce,110, 9
Tuesday,Breakfast,Sliced Mushrooms,Tablespoon,0, 0
Tuesday,Breakfast,Sliced Red Onion,Ounce,10, 0
Tuesday,Breakfast,Spiced Pumpkin Seeds,Tablespoon,45, 3
Tuesday,Breakfast,Spinach,Ounce,5, 0
Tuesday,Breakfast,Tri Color Peppers,Portion,25, 1.5
Tuesday,Breakfast,Tuna,1/4 Cup,35, 0
Tuesday,Breakfast,Balsamic Vinaigrette Dressing in Bottle,Ounce,60, 4.5
Tuesday,Breakfast,Buttermilk Ranch Dressing,Ounce,130, 14
Tuesday,Breakfast,Country French Dressing,Ounce,120, 11
Tuesday,Breakfast,Creamy Caesar Dressing,Fluid Oz,140, 15
Tuesday,Breakfast,Fat Free Raspberry Vinaigrette Dressing,Fluid Oz,35, 0
Tuesday,Breakfast,Lite Ranch Dressing,Ounce,70, 7
Tuesday,Breakfast,Plant Based Ranch Dressing,2z Portion,210, 22
Tuesday,Breakfast,Creamy Tomato Soup,6 Flz,90, 1.5
Tuesday,Breakfast,Baby Carrots,3 Carrots,10, 0
Tuesday,Breakfast,Celery Sticks,Ounce,0, 0
Tuesday,Breakfast,Classic Quinoa & Lentil Salad,3z Portion,200, 9
Tuesday,Breakfast,Daiya Vegan Shredded Mozzarella Cheese,Ounce,80, 5
Tuesday,Breakfast,Fresh Avocado,Ounce,45, 4.5
Tuesday,Breakfast,Goblin's Ears,5z Portion,140, 10
Tuesday,Breakfast,Hummus with Tahini,1z Portion,70, 5
Tuesday,Breakfast,Italian Garlic & Herb Breadstick,1ct,130, 2
Tuesday,Breakfast,Kalamata Olive Hummus,1z Portion,70, 6
Tuesday,Breakfast,Raw Mediterranean Pita Chips,1 oz portion,70, 0.5
Tuesday,Breakfast,Roasted Garlic Hummus,1z Portion,70, 5
Tuesday,Breakfast,Roasted Red Pepper Hummus,1z Portion,60, 4
Tuesday,Breakfast,Broccoli Florets,4z Portion,35, 0
Tuesday,Breakfast,Blueberry Yogurt,Ounce,20, 0
Tuesday,Breakfast,Nature Valley Toasted Granola Oat,Ounce,130, 4.5
Tuesday,Breakfast,Plain Greek Yogurt,Ounce,15, 0
Tuesday,Breakfast,Small Curd Cottage Cheese,1/2 Cup,100, 5
Tuesday,Breakfast,Strawberry Yogurt,Ounce,20, 0
Tuesday,Breakfast,Vanilla Yogurt,Ounce,20, 0
Tuesday,Lunch,2% Chocolate Milk BIB,1 Cup,170, 5
Tuesday,Lunch,2% Milk BIB,8 flz,120, 5
Tuesday,Lunch,Apple Juice 6:1 Concentrate,1/2 hall glass,10, 0
Tuesday,Lunch,Cherry Coke,1 dining hall glass,null,null
Tuesday,Lunch,Coke Classic,1 dining hall glass,null,null
Tuesday,Lunch,Coke Zero,8flz,null,null
Tuesday,Lunch,Cranberry Juice 4.7:1 Concentrate,1/2 hall glass,70, 0
Tuesday,Lunch,Diet Coke,1 dining hall glass,null,null
Tuesday,Lunch,Diet Sprite,Fluid Oz,0, 0
Tuesday,Lunch,Milk Soy Vanilla Aseptic Silk,8z,null,null
Tuesday,Lunch,Orange Juice 5:1 Concentrate,1/2 hall glass,15, 0
Tuesday,Lunch,Original Style Lemonade,1 dining hall glass,null,null
Tuesday,Lunch,Original Unsweetened Almond Milk,6z Portion,60, 2
Tuesday,Lunch,Pibb Xtra,1 dining hall glass,null,null
Tuesday,Lunch,Powerade Mountain Blast,1 dining hall glass,null,null
Tuesday,Lunch,Root Beer,1 dining hall glass,null,null
Tuesday,Lunch,Skim Milk BIB,8 flz,80, 0
Tuesday,Lunch,Sprite,1 dining hall glass,null,null
Tuesday,Lunch,Unsweetened Vanilla Almond Milk,6z Portion,20, 1.5
Tuesday,Lunch,Brewed coffee,6z Portion,0,null
Tuesday,Lunch,Coffeemate Original,Fluid Oz,30, 3
Tuesday,Lunch,Creamer French Vanilla Coffeemate 1.5L,Fluid Oz,60, 3.5
Tuesday,Lunch,ecoStick Organic White Sugar Stick,"Stick
Stick",10, 0
Tuesday,Lunch,ecoStick Sugar Substitute Blue Pc,Stick,0, 0
Tuesday,Lunch,ecoStick Sugar Substitute Pink Pc,Stick,0, 0
Tuesday,Lunch,ecoStick Sugar Substitute Yellow Pc,Stick,0, 0
Tuesday,Lunch,Extra Lite Amber Honey,Ounce,80, 0
Tuesday,Lunch,Green Tea Bag,Tea Bag,0, 0
Tuesday,Lunch,Hazelnut Coffee Creamer,Fluid Oz,10, 0
Tuesday,Lunch,Lipton Black Tea Bag,Tea Bag,0, 0
Tuesday,Lunch,Lipton Tea Decaf,Tea Bag,null,null
Tuesday,Lunch,Chicken Broccoli Cashew,6 oz Portion,180, 6
Tuesday,Lunch,Fried Pork Pot Sticker,Pot Sticker,50, 3
Tuesday,Lunch,Steamed Brown Rice,4z Portion,140, 1
Tuesday,Lunch,Steamed Long Grain Rice,4z Portion,530, 0
Tuesday,Lunch,Szechuan Stir-fried Rice,4z Portion,360,null
Tuesday,Lunch,Boom Boom Chicken,3z Portion,250, 18
Tuesday,Lunch,Boom Boom Sauce,Fluid Oz,160, 17
Tuesday,Lunch,Carrots,Tablespoon,0, 0
Tuesday,Lunch,Diced Tomatoes,Ounce,0, 0
Tuesday,Lunch,Feather Shredded Pepper Jack Cheese,Ounce,110, 9
Tuesday,Lunch,Homestyle Ranch Dressing,Ounce,90, 10
Tuesday,Lunch,Locally Grown Salad Greens,Ounce,0, 0
Tuesday,Lunch,Peppadew Pepper,Tablespoon,35, 0
Tuesday,Lunch,Plant Based Chick'n Poppers,1ct,null,null
Tuesday,Lunch,Plant Based Chipotle Ranch Dressing,2z Portion,180, 20
Tuesday,Lunch,Sliced Red Onion,Ounce,10, 0
Tuesday,Lunch,Tri-Color Tortilla Strips,Ounce,140, 8
Tuesday,Lunch,Captain Crunch Wildberries,Cup,180, 2.5
Tuesday,Lunch,Cheerios,Cup,110, 2
Tuesday,Lunch,Cinnamon Toast Crunch,Cup,210, 5
Tuesday,Lunch,Frosted Flakes,Cup,320, 0
Tuesday,Lunch,Rice Chex Cereal,Cup,180, 1
Tuesday,Lunch,Special K with Red Berries,Cup,360, 1
Tuesday,Lunch,French Rolls,"6"" Portion",null,null
Tuesday,Lunch,"Honey Wheat Tortilla 12""",Tortilla,300, 8
Tuesday,Lunch,Kettle Chips,Ounce,160, 9
Tuesday,Lunch,"Multigrain Bread 5/8"" Slice",Slice,null,null
Tuesday,Lunch,Sourdough Bread Slice,Slices,100, 1
Tuesday,Lunch,"Spinach Tortilla 12""",Tortilla,300, 8
Tuesday,Lunch,"Sundried Tomato Basil Tortilla 12""",Tortillas,310, 8
Tuesday,Lunch,Telera Roll,3.5z,300, 4
Tuesday,Lunch,Caramel Topping,Ounce,80, 0
Tuesday,Lunch,Chocolate Soft Serve Ice Cream Mix,Cup,340, 12
Tuesday,Lunch,Cone Cake Jacketed,Cone,null,null
Tuesday,Lunch,Dole Whip Pineapple,1 Serving,110, 0.5
Tuesday,Lunch,Dole Whip Strawberry,1 Serving,110, 0
Tuesday,Lunch,Dutch Chocolate Syrup,Ounce,70, 0
Tuesday,Lunch,Mini Semi-Sweet Choc Chips,Ounce,130, 8
Tuesday,Lunch,Oreo Cookie Topping,Ounce,140, 5
Tuesday,Lunch,Rainbow Sprinkles,Ounce,140, 7
Tuesday,Lunch,Vanilla Soft Serve Ice Cream Mix,Cup,360, 13
Tuesday,Lunch,Jalapeno Monterey Jack Cheese Slice,Slice,60, 5
Tuesday,Lunch,Provolone Cheese Slice,Slice,70, 6
Tuesday,Lunch,Sliced 0.75z Mild Cheddar Cheese,Slice,80, 7
Tuesday,Lunch,Cooked & Crumbled Bacon,Ounce,160, 13
Tuesday,Lunch,"Diced 3/8"" Bacon",1 Tbsp,60, 4.5
Tuesday,Lunch,Grilled Chicken Breast Strip Fajita,Ounce,35, 1.5
Tuesday,Lunch,Low Sodium Smoked Ham Slices,Ounce,30, 1
Tuesday,Lunch,Oven Roasted Sliced Chicken,Ounce,null,null
Tuesday,Lunch,Smoked Sliced Genoa Salami,Ounce,110, 9
Tuesday,Lunch,Smoked Tempeh,Ounce,null,null
Tuesday,Lunch,Tuna Salad,1z Portion,80, 7
Tuesday,Lunch,Chicago-Style Hot Giardiniera,Fluid Oz,120, 12
Tuesday,Lunch,Cucumber Slices,.25 cup,0, 0
